stock,strategy,total_pnl,num_trades,win_rate
02171.csv,orderbook_slope,0.3800000000000008,1,1.0
02171.csv,weighted_microprice_reversal,3.939999999999994,94,0.4680851063829787
02171.csv,volatility_breakout_reversed,1.2400000000000002,8,0.875
02171.csv,weighted_microprice_reversal_reversed,3.939999999999994,94,0.4680851063829787
02171.csv,volatility_regime_momentum_reversed,0.1999999999999975,29,0.4827586206896552
09868.csv,volatility_breakout_reversed,3.449999999999932,43,0.4651162790697674
09868.csv,volatility_convergence_reversed,1.1500000000000554,304,0.4375
09868.csv,microprice_depth_convergence_reversed,14.15000000000004,296,0.4729729729729729
01815.csv,orderflow_imbalance,0.06,3,1.0
01815.csv,volatility_breakout,0.01,1,1.0
01815.csv,price_momentum_reversal,0.07,7,0.4285714285714285
01815.csv,microprice_depth_convergence,0.02,2,1.0
01815.csv,signal_big_moves,0.02,14,0.3571428571428571
01815.csv,price_momentum_reversal_reversed,0.07,7,0.4285714285714285
01815.csv,volatility_regime_momentum_reversed,0.02,8,0.625
02099.csv,volatility_convergence,0.8999999999999844,23,0.4782608695652174
02099.csv,volatility_breakout_reversed,1.6000000000000014,9,0.7777777777777778
02269.csv,orderbook_slope,0.5399999999999991,6,0.5
02269.csv,orderbook_slope_reversed,0.3300000000000089,13,0.4615384615384615
00005.csv,momentum_depth_convergence,5.949999999999932,123,0.3008130081300813
00005.csv,volatility_convergence,8.499999999999986,41,0.3414634146341463
00005.csv,orderflow_momentum,6.84999999999998,102,0.284313725490196
00005.csv,volatility_regime_momentum_reversed,8.099999999999866,122,0.3114754098360656
00388.csv,volatility_breakout_reversed,4.200000000000102,10,0.5
00981.csv,volatility_breakout,0.0500000000000042,14,0.5
00981.csv,volatility_convergence,0.9999999999999788,17,0.4705882352941176
00981.csv,microprice_depth_convergence,0.5,15,0.4666666666666667
00981.csv,volatility_regime_momentum,0.700000000000017,35,0.3714285714285714
03692.csv,trade_flow_imbalance,0.4000000000000021,3,0.3333333333333333
03692.csv,volatility_regime_momentum,0.0499999999999971,44,0.3409090909090909
03692.csv,signal_big_moves,12.400000000000002,147,0.238095238095238
03692.csv,volatility_breakout_reversed,0.3000000000000007,3,0.6666666666666666
09991.csv,orderflow_imbalance,0.54,1,1.0
09991.csv,volatility_breakout,0.54,1,1.0
09991.csv,volatility_regime_switch,0.54,1,1.0
09991.csv,momentum_depth_convergence,0.4900000000000002,2,0.5
09991.csv,price_momentum_reversal,0.5599999999999996,2,1.0
09991.csv,microprice_depth_convergence,0.54,1,1.0
09991.csv,microprice_momentum_reversed,0.1399999999999996,1,1.0
09991.csv,depth_spread_arb_reversed,0.6300000000000008,1,1.0
09991.csv,trade_flow_imbalance_reversed,6.209999999999999,9,0.2222222222222222
09991.csv,price_momentum_reversal_reversed,0.5599999999999996,2,1.0
09991.csv,volatility_regime_momentum_reversed,0.2299999999999995,5,0.2
09618.csv,trade_flow_imbalance,3.499999999999972,20,0.65
09618.csv,price_momentum_reversal,1.09999999999998,155,0.3483870967741935
09618.csv,volatility_regime_momentum,1.900000000000034,85,0.4117647058823529
09618.csv,volatility_breakout_reversed,2.499999999999972,9,0.6666666666666666
09618.csv,price_momentum_reversal_reversed,1.09999999999998,155,0.3483870967741935
02331.csv,volatility_breakout,0.0600000000000005,3,0.6666666666666666
02331.csv,trade_flow_imbalance,0.2200000000000024,10,0.6
02331.csv,price_momentum_reversal,0.08,42,0.4285714285714285
02331.csv,microprice_depth_convergence,0.0799999999999983,6,0.5
02331.csv,price_momentum_reversal_reversed,0.08,42,0.4285714285714285
02899.csv,volatility_breakout,0.3800000000000008,5,0.6
00998.csv,volatility_convergence,0.0199999999999969,15,0.2666666666666666
00998.csv,volatility_breakout_reversed,0.0699999999999994,2,0.5
06869.csv,price_momentum_reversal,0.3199999999999967,41,0.5121951219512195
06869.csv,price_momentum_reversal_reversed,0.3199999999999967,41,0.5121951219512195
01299.csv,microprice_acceleration,8.000000000000043,401,0.3042394014962593
01299.csv,trade_flow_imbalance,0.1500000000000056,9,0.5555555555555556
01299.csv,orderflow_momentum,3.6999999999999815,90,0.2666666666666666
01299.csv,signal_big_moves,10.800000000000011,49,0.2653061224489796
01299.csv,volatility_breakout_reversed,0.0500000000000042,3,0.3333333333333333
02888.csv,microprice_momentum,0.9500000000000028,4,0.5
02888.csv,depth_spread_arb,12.599999999999952,74,0.2972972972972973
02888.csv,trade_flow_imbalance_reversed,3.4000000000000057,111,0.3693693693693693
01398.csv,trade_flow_imbalance,0.0900000000000007,2,1.0
01258.csv,orderflow_imbalance,0.160000000000001,13,0.5384615384615384
01258.csv,momentum_depth_convergence,0.0400000000000027,59,0.3728813559322034
01258.csv,orderflow_momentum,0.0700000000000011,38,0.3684210526315789
03993.csv,trade_flow_imbalance,0.6899999999999986,11,0.5454545454545454
03993.csv,orderflow_momentum,0.2600000000000015,39,0.3076923076923077
03993.csv,volatility_regime_switch_reversed,0.4500000000000028,65,0.3846153846153846
01378.csv,volatility_breakout_reversed,0.0800000000000018,4,0.5
01877.csv,volatility_breakout_reversed,0.4000000000000021,18,0.4444444444444444
01877.csv,volatility_regime_momentum_reversed,0.020000000000012,51,0.4313725490196078
06160.csv,microprice_momentum,7.1000000000000085,32,0.5625
06160.csv,orderflow_momentum_reversed,1.2000000000000028,213,0.460093896713615
02197.csv,volatility_breakout,0.0199999999999999,1,1.0
02197.csv,price_momentum_reversal,0.0139999999999999,3,0.6666666666666666
02197.csv,trade_flow_imbalance_reversed,0.007,5,0.4
02197.csv,volatility_convergence_reversed,0.0009999999999999,5,0.6
02197.csv,price_momentum_reversal_reversed,0.0139999999999999,3,0.6666666666666666
02197.csv,microprice_depth_convergence_reversed,0.002,5,0.4
01024.csv,volatility_breakout,0.5999999999999872,8,0.625
01024.csv,volatility_convergence,0.4500000000000028,50,0.34
01024.csv,volatility_regime_momentum,1.1500000000000128,69,0.463768115942029
01024.csv,orderflow_momentum_reversed,5.599999999999987,179,0.4636871508379888
02313.csv,depth_spread_arb,1.7999999999999687,105,0.3523809523809524
09992.csv,trade_flow_imbalance,23.40000000000002,47,0.5106382978723404
09992.csv,volatility_regime_momentum,10.700000000000015,36,0.25
09992.csv,signal_big_moves,4.600000000000037,187,0.4064171122994652
09992.csv,microprice_depth_convergence_reversed,4.900000000000347,223,0.4394618834080717
02015.csv,volatility_breakout_reversed,7.700000000000031,36,0.6666666666666666
02015.csv,volatility_regime_switch_reversed,4.299999999999869,197,0.4213197969543147
